date,action,price,shares,pnl_pct
2025-06-10,BUY,143.9600067138672,69,0.0
2025-06-25,SELL (TAKE-PROFIT),154.30999755859375,69,7.19
2025-06-26,BUY,155.02000427246094,64,0.0
2025-07-09,SELL (TAKE-PROFIT),162.8800048828125,64,5.07
2025-07-10,BUY,164.10000610351562,61,0.0
2025-07-15,SELL (TAKE-PROFIT),170.6999969482422,61,4.02
2025-07-16,BUY,171.3699951171875,59,0.0
2025-07-22,SELL (STOP-LOSS),167.02999877929688,59,-2.53
2025-07-23,BUY,170.77999877929688,59,0.0
2025-07-30,SELL (TAKE-PROFIT),179.27000427246094,59,4.97
2025-07-31,BUY,177.8699951171875,57,0.0
2025-08-01,SELL (STOP-LOSS),173.72000122070312,57,-2.33
2025-08-04,BUY,180.0,56,0.0
2025-08-19,SELL (STOP-LOSS),175.63999938964844,56,-2.42
2025-08-20,BUY,175.39999389648438,57,0.0
2025-09-02,SELL (STOP-LOSS),170.77999877929688,57,-2.63
2025-09-11,BUY,177.1699981689453,57,0.0
2025-09-17,SELL (STOP-LOSS),170.2899932861328,57,-3.88
2025-10-06,BUY,185.5399932861328,54,0.0
2025-10-14,SELL (STOP-LOSS),180.02999877929688,54,-2.97
2025-10-15,BUY,179.8300018310547,55,0.0
2025-10-27,SELL (TAKE-PROFIT),191.49000549316406,55,6.48
2025-10-28,BUY,201.02999877929688,50,0.0
2025-11-05,SELL (STOP-LOSS),195.2100067138672,50,-2.9
2025-11-06,BUY,188.0800018310547,53,0.0
2025-11-10,SELL (TAKE-PROFIT),199.0500030517578,53,5.83
2025-11-11,BUY,193.16000366210938,52,0.0
2025-11-13,SELL (STOP-LOSS),186.86000061035156,52,-3.26
2025-11-14,BUY,190.1699981689453,53,0.0
2025-11-18,SELL (STOP-LOSS),181.36000061035156,53,-4.63
2025-11-20,BUY,180.63999938964844,55,0.0
2025-11-21,SELL (TREND REVERSAL),178.8800048828125,55,-0.97
2026-01-16,BUY,186.22999572753906,53,0.0
2026-01-20,SELL (STOP-LOSS),178.07000732421875,53,-4.38
2026-01-23,BUY,187.6699981689453,53,0.0
2026-02-03,SELL (STOP-LOSS),180.33999633789062,53,-3.91
2026-02-09,BUY,190.0399932861328,52,0.0
2026-02-13,SELL (STOP-LOSS),182.80999755859375,52,-3.8
2026-02-18,BUY,187.97999572753906,52,0.0
2026-02-25,SELL (TAKE-PROFIT),195.55999755859375,52,4.03
2026-02-26,BUY,184.88999938964844,53,0.0
2026-02-27,SELL (STOP-LOSS),177.19000244140625,53,-4.16
